year,month,scope,activity_name,emission_kgco2e,emission_tco2e
2567,1,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,670.320000,0.67032000
2567,1,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,39.110400,0.03911040
2567,1,Scope 1,น้ำมัน Diesel,196.363990,0.19636399
2567,1,Scope 2,การใช้พลังงานไฟฟ้า,8016.596360,8.01659636
2567,1,Scope 3,การใช้กระดาษ A4 และ A3 (สีขาว),425.655000,0.42565500
2567,1,Scope 3,ขยะของเสีย (ฝังกลบ),885.776000,0.88577600
2567,1,Scope 3,น้ำประปา-การประปาส่วนภูมิภาค,157.431000,0.15743100
2567,2,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,638.400000,0.63840000
2567,2,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,62.805120,0.06280512
2567,2,Scope 1,น้ำมัน Diesel,319.362118,0.31936212
2567,2,Scope 2,การใช้พลังงานไฟฟ้า,11329.533640,11.32953364
2567,2,Scope 3,การใช้กระดาษ A4 และ A3 (สีขาว),476.733600,0.47673360
2567,2,Scope 3,ขยะของเสีย (ฝังกลบ),806.664000,0.80666400
2567,2,Scope 3,น้ำประปา-การประปาส่วนภูมิภาค,252.809300,0.25280930
2567,3,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,670.320000,0.67032000
2567,3,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,68.221440,0.06822144
2567,3,Scope 1,น้ำมัน Diesel,322.020500,0.32202050
2567,3,Scope 2,การใช้พลังงานไฟฟ้า,17445.210260,17.44521026
2567,3,Scope 3,การใช้กระดาษ A4 และ A3 (สีขาว),471.058200,0.47105820
2567,3,Scope 3,ขยะของเสีย (ฝังกลบ),728.944000,0.72894400
2567,3,Scope 3,น้ำประปา-การประปาส่วนภูมิภาค,274.611600,0.27461160
2567,4,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,606.480000,0.60648000
2567,4,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,60.789120,0.06078912
2567,4,Scope 1,น้ำมัน Diesel,102.909530,0.10290953
2567,4,Scope 2,การใช้พลังงานไฟฟ้า,19229.053420,19.22905342
2567,4,Scope 3,การใช้กระดาษ A4 และ A3 (สีขาว),192.963600,0.19296360
2567,4,Scope 3,ขยะของเสีย (ฝังกลบ),703.192000,0.70319200
2567,4,Scope 3,น้ำประปา-การประปาส่วนภูมิภาค,244.694300,0.24469430
2567,5,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,670.320000,0.67032000
2567,5,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,54.929280,0.05492928
2567,5,Scope 1,น้ำมัน Diesel,62.567898,0.06256790
2567,5,Scope 2,การใช้พลังงานไฟฟ้า,18679.463360,18.67946336
2567,5,Scope 3,การใช้กระดาษ A4 และ A3 (สีขาว),317.822400,0.31782240
2567,5,Scope 3,ขยะของเสีย (ฝังกลบ),865.128000,0.86512800
2567,5,Scope 3,น้ำประปา-การประปาส่วนภูมิภาค,221.106700,0.22110670
2567,6,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,606.480000,0.60648000
2567,6,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,49.593600,0.04959360
2567,6,Scope 1,น้ำมัน Diesel,164.134534,0.16413453
2567,6,Scope 2,การใช้พลังงานไฟฟ้า,18571.484960,18.57148496
2567,6,Scope 3,การใช้กระดาษ A4 และ A3 (สีขาว),363.225600,0.36322560
2567,6,Scope 3,ขยะของเสีย (ฝังกลบ),1152.344000,1.15234400
2567,6,Scope 3,น้ำประปา-การประปาส่วนภูมิภาค,199.629000,0.19962900
2567,7,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,638.400000,0.63840000
2567,7,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,62.106240,0.06210624
2567,7,Scope 1,น้ำมัน Diesel,188.279220,0.18827922
2567,7,Scope 2,การใช้พลังงานไฟฟ้า,20583.882400,20.58388240
2567,7,Scope 3,การใช้กระดาษ A4 และ A3 (สีขาว),278.094600,0.27809460
2567,7,Scope 3,ขยะของเสีย (ฝังกลบ),741.472000,0.74147200
2567,7,Scope 3,น้ำประปา-การประปาส่วนภูมิภาค,249.996100,0.24999610
2567,8,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,670.320000,0.67032000
2567,8,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,46.851840,0.04685184
2567,8,Scope 1,น้ำมัน Diesel,234.019834,0.23401983
2567,8,Scope 2,การใช้พลังงานไฟฟ้า,18869.425360,18.86942536
2567,8,Scope 3,การใช้กระดาษ A4 และ A3 (สีขาว),351.874800,0.35187480
2567,8,Scope 3,ขยะของเสีย (ฝังกลบ),1110.120000,1.11012000
2567,8,Scope 3,น้ำประปา-การประปาส่วนภูมิภาค,188.592600,0.18859260
2567,9,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,670.320000,0.67032000
2567,9,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,47.779200,0.04777920
2567,9,Scope 1,น้ำมัน Diesel,351.975258,0.35197526
2567,9,Scope 2,การใช้พลังงานไฟฟ้า,18413.816500,18.41381650
2567,9,Scope 3,การใช้กระดาษ A4 และ A3 (สีขาว),323.497800,0.32349780
2567,9,Scope 3,ขยะของเสีย (ฝังกลบ),979.504000,0.97950400
2567,9,Scope 3,น้ำประปา-การประปาส่วนภูมิภาค,192.325500,0.19232550
2567,10,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,638.400000,0.63840000
2567,10,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,62.307840,0.06230784
2567,10,Scope 1,น้ำมัน Diesel,157.584500,0.15758450
2567,10,Scope 2,การใช้พลังงานไฟฟ้า,16178.863580,16.17886358
2567,10,Scope 3,การใช้กระดาษ A4 และ A3 (สีขาว),346.199400,0.34619940
2567,10,Scope 3,ขยะของเสีย (ฝังกลบ),727.784000,0.72778400
2567,10,Scope 3,น้ำประปา-การประปาส่วนภูมิภาค,250.807600,0.25080760
2567,11,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,702.240000,0.70224000
2567,11,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,68.288640,0.06828864
2567,11,Scope 1,น้ำมัน Diesel,185.511214,0.18551121
2567,11,Scope 2,การใช้พลังงานไฟฟ้า,11905.618400,11.90561840
2567,11,Scope 3,การใช้กระดาษ A4 และ A3 (สีขาว),385.927200,0.38592720
2567,11,Scope 3,ขยะของเสีย (ฝังกลบ),598.792000,0.59879200
2567,11,Scope 3,น้ำประปา-การประปาส่วนภูมิภาค,274.882100,0.27488210
2567,12,Scope 1,4. การปล่อยสารมีเทนจากระบบ septic tank,606.480000,0.60648000
2567,12,Scope 1,5. การปล่อยสารมีเทนจากบ่อบำบัดน้ำเสียแบบไม่เติมอากาศ,138.781440,0.13878144
2567,12,Scope 1,น้ำมัน Diesel,182.359524,0.18235952
